timestamp,container_id,shipment_id,commodity,origin,destination,latitude,longitude,temperature,humidity,vibration,pressure,battery_level,door_status,light_detected,gps_speed,spoilage_index,sensor_status,alert_level
2026-07-09 15:53:53,CNT006,SHP1000,Oranges,Vizag,Mumbai,17.79096,83.44056,4.31,82.79,0.15,1005.04,87,Closed,False,89.84,0.19,Healthy,Normal
2026-07-09 15:53:58,CNT022,SHP1001,Tomatoes,Vizag,Mumbai,17.45909,83.35157,13.11,83.66,0.95,1010.18,69,Open,True,8.96,0.36,Healthy,Warning
2026-07-09 15:54:03,CNT019,SHP1002,Mangoes,Hyderabad,Mumbai,17.34777,78.73528,8.79,82.77,0.24,1006.29,97,Closed,False,29.77,0.24,Faulty,Normal
2026-07-09 15:54:08,CNT015,SHP1003,Mangoes,Hyderabad,Mumbai,17.15762,78.31734,8.53,88.99,1.56,998.79,99,Closed,False,58.0,0.44,Healthy,Warning
2026-07-09 15:54:13,CNT020,SHP1004,Potatoes,Hyderabad,Mumbai,17.42087,78.55648,9.42,88.63,0.82,1018.36,69,Closed,False,60.95,0.32,Healthy,Warning
2026-07-09 15:54:18,CNT001,SHP1005,Avocados,Nagpur,Chennai,20.97023,79.0007,5.36,85.53,0.24,997.63,91,Open,True,45.45,0.15,Healthy,Normal
2026-07-09 15:54:23,CNT005,SHP1006,Potatoes,Bengaluru,Delhi,12.95073,77.69211,7.18,90.79,1.18,1007.07,89,Closed,False,4.83,0.24,Healthy,Normal
2026-07-09 15:54:28,CNT011,SHP1007,Potatoes,Vizag,Mumbai,17.74973,83.08277,7.02,94.1,1.73,1024.72,74,Open,True,79.71,0.32,Healthy,Warning
2026-07-09 15:54:33,CNT004,SHP1008,Potatoes,Vizag,Mumbai,17.43955,83.10215,9.13,85.33,0.76,997.24,78,Closed,False,75.5,0.3,Healthy,Warning
2026-07-09 15:54:38,CNT016,SHP1009,Tomatoes,Hyderabad,Mumbai,17.23989,78.26549,17.43,77.33,1.94,1001.57,79,Closed,False,17.78,0.58,Healthy,Warning
2026-07-09 15:54:43,CNT013,SHP1010,Apples,Pune,Kolkata,18.54238,73.91466,0.47,87.52,0.57,1019.08,98,Closed,False,12.36,0.26,Healthy,Normal
2026-07-09 15:54:48,CNT005,SHP1011,Bananas,Nagpur,Chennai,21.24815,79.32761,13.11,83.48,2.0,1009.89,65,Open,True,9.67,0.4,Healthy,Warning
2026-07-09 15:54:53,CNT001,SHP1012,Apples,Bengaluru,Delhi,13.15581,77.35783,3.46,87.12,0.46,1005.0,89,Closed,False,1.95,0.24,Healthy,Normal
2026-07-09 15:54:58,CNT016,SHP1013,Potatoes,Hyderabad,Mumbai,17.54601,78.50138,8.26,89.74,0.02,1023.76,72,Open,True,44.17,0.1,Healthy,Normal
2026-07-09 15:55:03,CNT021,SHP1014,Tomatoes,Pune,Kolkata,18.38099,73.68944,16.34,75.41,1.62,1007.38,96,Closed,False,9.32,0.45,Healthy,Warning
2026-07-09 15:55:08,CNT016,SHP1015,Tomatoes,Nagpur,Chennai,20.97657,79.23284,14.82,74.9,0.24,1007.04,69,Closed,False,45.8,0.15,Healthy,Normal
2026-07-09 15:55:13,CNT007,SHP1016,Mangoes,Vizag,Mumbai,17.82488,82.98361,12.03,81.43,0.76,996.51,76,Closed,False,69.1,0.31,Healthy,Warning
2026-07-09 15:55:18,CNT013,SHP1017,Bananas,Hyderabad,Chennai,17.25205,78.26882,12.17,86.92,1.42,1013.53,83,Closed,False,30.16,0.37,Healthy,Warning
2026-07-09 15:55:23,CNT003,SHP1018,Apples,Hyderabad,Mumbai,17.59602,78.56047,0.09,87.86,1.36,1004.76,68,Closed,False,11.5,0.41,Healthy,Warning
2026-07-09 15:55:28,CNT022,SHP1019,Tomatoes,Pune,Kolkata,18.38922,73.94875,15.61,77.13,0.97,1003.16,89,Closed,False,77.23,0.29,Faulty,Normal
2026-07-09 15:55:33,CNT025,SHP1020,Bananas,Nagpur,Chennai,21.17889,78.90077,13.73,82.53,0.33,1018.71,96,Open,True,79.4,0.14,Healthy,Normal
2026-07-09 15:55:38,CNT021,SHP1021,Oranges,Vizag,Mumbai,17.71985,83.37481,7.1,81.74,1.12,1023.33,82,Closed,False,64.46,0.37,Healthy,Warning
2026-07-09 15:55:43,CNT019,SHP1022,Tomatoes,Hyderabad,Mumbai,17.19652,78.6263,16.96,80.33,1.26,999.23,98,Open,True,49.15,0.42,Healthy,Warning
2026-07-09 15:55:48,CNT014,SHP1023,Bananas,Nagpur,Chennai,21.05421,79.21109,13.31,84.18,0.22,1020.65,82,Closed,False,63.44,0.11,Healthy,Normal
2026-07-09 15:55:53,CNT010,SHP1024,Grapes,Nagpur,Chennai,21.14317,78.93871,3.49,92.79,1.36,997.04,74,Closed,False,48.15,0.35,Faulty,Warning
2026-07-09 15:55:58,CNT023,SHP1025,Bananas,Nagpur,Chennai,21.25723,79.29255,12.9,84.12,0.93,1012.76,93,Closed,False,65.8,0.25,Healthy,Normal
2026-07-09 15:56:03,CNT005,SHP1026,Apples,Hyderabad,Mumbai,17.47524,78.33837,2.29,88.76,0.59,1011.37,71,Closed,False,36.66,0.16,Healthy,Normal
2026-07-09 15:56:08,CNT021,SHP1027,Potatoes,Bengaluru,Delhi,12.73088,77.50076,7.51,86.92,0.11,1023.37,65,Closed,False,11.89,0.07,Faulty,Normal
2026-07-09 15:56:13,CNT001,SHP1028,Potatoes,Hyderabad,Mumbai,17.61779,78.4993,6.26,87.55,0.14,997.24,69,Open,True,9.38,0.17,Healthy,Normal
2026-07-09 15:56:18,CNT020,SHP1029,Apples,Pune,Kolkata,18.76625,73.67035,1.86,86.69,0.93,1004.01,95,Closed,False,17.03,0.2,Healthy,Normal
2026-07-09 15:56:23,CNT009,SHP1030,Apples,Hyderabad,Chennai,17.42545,78.3159,3.99,89.54,1.61,998.38,67,Closed,False,16.91,0.44,Healthy,Warning
2026-07-09 15:56:28,CNT018,SHP1031,Avocados,Hyderabad,Mumbai,17.45626,78.50437,5.67,88.73,1.59,997.21,77,Open,True,2.53,0.31,Healthy,Warning
2026-07-09 15:56:33,CNT023,SHP1032,Mangoes,Vizag,Mumbai,17.54716,82.9886,8.01,85.05,0.81,997.87,71,Closed,False,58.77,0.38,Healthy,Warning
2026-07-09 15:56:38,CNT014,SHP1033,Avocados,Nagpur,Chennai,21.12301,79.14429,6.18,90.67,1.13,1013.82,72,Closed,False,49.12,0.22,Faulty,Normal
2026-07-09 15:56:43,CNT004,SHP1034,Avocados,Nagpur,Chennai,21.09006,79.28201,6.91,87.8,1.08,1019.86,90,Closed,False,30.8,0.28,Healthy,Normal
2026-07-09 15:56:48,CNT003,SHP1035,Grapes,Vizag,Mumbai,17.54022,82.97472,3.82,91.5,0.6,1018.67,89,Closed,False,38.51,0.27,Healthy,Normal
2026-07-09 15:56:53,CNT009,SHP1036,Grapes,Pune,Kolkata,18.47311,73.62268,3.11,91.51,0.04,1024.74,92,Closed,False,83.56,0.13,Healthy,Normal
2026-07-09 15:56:58,CNT011,SHP1037,Oranges,Pune,Kolkata,18.56876,73.94585,4.97,81.13,1.48,1016.38,91,Closed,False,53.93,0.34,Healthy,Warning
